;Id;Impact;Urgency;IncidentType;ServiceProcessed;MailSubject;MailTextBody;ManualGroups
2376;INC000009726792;4-Minor/Localized;4-Low;Service Request;_Pending;Travel Admin App nicht verfügbar;sehr geehrte damen und herren  es freut mich, wird itineris von der neuen «eda travel admin app» abgelöst. ich lebe in iran als begleitperson. unsere familie reist oft im land und information über ereignisse (wie z.b. das erdbeben letzte nacht in busher, 45km östlich des atomkraftwerkes oder den erwarteten unruhen heute) zu erhalten wäre sehr hilfreich.  die applikation ist aber leider über den google play store nicht verfügbar (siehe anhang screen shot). ist es möglich, diese app auch auf der eda admin seits bereit zu stellen (wie einige andere firmen organisationen auch machen)? oder kennen sie eine andere möglichkeit die eda travel admin app in länder mit beschränktem «app store» zugang zur verfügung zu stellen? vpn ist im augenblick, das heisst seit mehrere tagen, wieder einmal blockiert. das internet funktioniert in teheran wieder sehr stabil und robust.   vielen dank für ihr verständnis.  freundliche grüsse;Notebook
2374;INC000009725792;3-Moderate/Limited;3-Medium;User Service Request;EDA_ANW_SysP eDoc;FW: Diletta 0 1 2 3 i Drucker in Mexiko;hallo zäme  bitte zwei tickets erstellen, eines betreffend passprinter, 0 1 2 3 , und back-office-station an server-anwendung zuweisen.  eines betreffend fotoscanner eva photoscanner opticslim 0 1 2 3 +, 0 1 2 3 , dem kurier zuweisen, der scanner muss ersetzt werden. merci gruess pesche   from: behr https://www.admin.ch> sent: tuesday, december 24, 2019 3:02 pm to: kläfiger https://www.admin.ch> subject: diletta 0 1 2 3 i drucker in mexiko  guten tag herr kläfiger,  ich hoffe, dass sie ein schönes weihnachtsfest hatten.  leider haben wir probleme mit der qualität des diletta 800i passdruckers. es zeichnen sich verschieden linien auf dem foto ab, die häufig auch direkt über die augen gehen. ich habe erst vor 2 wochen die einzig mögliche reinigung gemacht, und er war etwas besser, aber heute waren die linien schon wieder sichtbar. welche massnahmen kann ich vornehmen, damit sich die druckqualität der fotos verbessert und keine linie mehr sichtbar ist?  ausserdem hat mich mein kollege darauf aufmerksam gemacht, dass er konstant probleme (anscheinend mit der mouse) auf der back-office-station im richclient hat, wenn er fotos oder dokumente einscannt. die mouse lässt sich nur ganz schlecht ziehen. das betrifft allerdings nur den bereich beim scannen, ansonsten (auf dem pc und richclient selbst) funktioniert die mouse normal. ich wäre ihnen sehr dankbar, wenn sie mir mitteilen könnten, ob und wie ich eine neue mouse an den pc der back-office-station anschliessen kann.  ausserdem habe ich festgestellt, dass die qualität der fotos von unserem scanner auch nicht optimal ist. der scanner wurde bei der überschwemmung auf der botschaft nass, sodass das eventuell daran liegen könnte. kann ich den scanner direkt über e-order neu anfordern?  wie immer bin ich ihnen für ihre bemühungen sehr dankbar und grüsse sie recht herzlich hier aus mexiko.  freundliche grüsse  der schweizer botschafter i.a.  martina behr kanzleimitarbeiterin  embajada de suiza paseo de las palmas no. 0 1 2 3 , piso 11 torre optima i alc. miguel hidalg;
2372;INC000009724605;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;Stop Autoforward Mails aus Organisationsmailbox;liebe kolleginnen und kollgen  da ich nicht mehr für die abteilung konsularischer schutz tätig bin (und innerhalb der konsularischen direktion in die abteilung bürgerservice gewechselt habe), möchte ich die automatische weiterleitung von e-mails aus der https://www.admin.ch> per sofort stoppen.  könnten sie mir bitte dabei behilflich sein?  vielen dank im voraus!  freundliche grüsse;
2371;INC000009724567;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;Netzkabel für Elena Manfrina MFE;sehr geehrte damen und herren  elena manfrina mfe benötigt einen zusätzlichen netzanschluss für ihr lap-top (asset 0 1 2 3 ), da sie auf dienstreisen geht. wäre es möglich, ihr ein solches zu zustellen?   fg peter schüpbach    peter schüpbach administrator dfa federal department of foreign affairs sdc swiss agency for development and cooperation department of global institutions freiburgstrasse 0 1 2 3 , ch 0 1 2 3 bern / switzerland office a 0 1 2 3 tel: +0 1 2 3 fax: +0 1 2 3 https://www.admin.ch> https://www.admin.ch/>   www.deza.ch<http://www.deza.ch/> [cid:image006.png@01d36f44.87e97680]<https://www.facebook.com/agenda2030switzerland/>[cid:image007.png@01d36f44.87e97680]<https://twitter.com/2030agendach?lang=en>  visit the sdc platform for multilateral cooperation<http://www.sdc-multilateral.ch/>  this e-mail may contain trade secrets or privileged, undisclosed or otherwise confidential information. if you have received this e-mail in error, you are hereby notified that any review, copying or distribution of it is strictly prohibited. please inform us immediately and destroy the original transmittal. thank you for your cooperation.;Bestellungen
2370;INC000009724524;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Internetzugriff;Sudan: online-Bestellungen;guten tag nach bern  kurze frage: mir ist es nicht möglich, z.b. ein flugticket in die schweiz oder in ein anderes land online zu buchen. werde blockiert, da standort sudan.  wie kann ich diesen schritt umgehen, der ja absolut relevant ist.  besten dank für die rückmeldung.   freundliche grüsse;
2369;INC000009724506;4-Minor/Localized;4-Low;Failure;EDA_S_Betrieb Übermitttlungssysteme;TC-0 1 2 3 Tbilisi;guten tag  wir haben ein problem mit unserem tc-0 1 2 3 . wir haben bereits seit dem umzug in die neue botschaft keine startknopf mehr und haben den tc-0 1 2 3 mit einer briefklammer gestartet. als wir nun heute das gerät starten wollte, so ist das grüne licht für da 5 sekunden angegangen, wie auch die lichter rechter hand und dann hat alles wieder abgestellt. wir haben diverse versuche gestartet, das gerät hat sich immer gleich verhalten.  könnte uns jemand weiterhelfen und informieren, wie wir das gerät reparieren können.  besten dank im voraus für ihre hilfe.  freundliche grüsse;
2368;INC000009724333;4-Minor/Localized;4-Low;Failure;EDA_S_BA_Mailbox;Disabled COM Add-ins;liebe kolleg/innen,  beim öffnen des outlook heute habe ich folgende untenstehende meldung erhalten. etwas zu tun?  ich wünsche ihnen allen schöneweihnachten.  beste grüsse;
2367;INC000009723813;4-Minor/Localized;4-Low;Service Request;EDA_ANW_SysP eDoc;Druckerpatronen Diletta 800i;liebes helpdesk-team  aufgrund von problemen beim drucken eines provisorischen passes mit dem diletta 800i wurde zu voreilig die druckerpatrone (vgl. bild unten) ausgewechselt.  bevor ich eine neue ersatz-patrone bestelle: wenn eine patrone bereits einmal geöffnet bzw. eingesetzt wurde, kann diese trotzdem noch aufbewahren und bei bedarf verwenden? wie lange kann eine solche patrone gelagert werden?  vielen dank für ihre rückmeldung.   [cid:image002.jpg@01d5b9ac.49dd6fe0]  frohe weihnachten und en guete rutsch!  herzliche grüsse;
2366;INC000009723570;4-Minor/Localized;4-Low;Service Request;EDA_S_APS_OS_BasisSW;FW: Bildschirm-Bilder;guten tag  ich habe immer das gleiche bild auf dem bildschirmschoner. bei meinen kolleginnen wechselt es immer, was ich bei mir auch gern hätte. könnten sie mir bitte helfen?  ich habe es nicht herausgefunden wie ich das machen kann.  ich bin nachmittags wieder im büro.  freundliche grüsse  From: https://www.admin.ch> sent: friday, december 20, 2019 11:49 am to: schüpbach https://www.admin.ch> subject: bildschirm-bilder  liebe mirjam  beim durchklicken habe ich dies gefunden! vielleicht kannst du unter “settings” deine bildschirm-bilder anders einstellen?!  [cid:image001.png@01d5b729.cd35b990]   viel glück ?!  liebe grüsse;
2365;INC000009723530;4-Minor/Localized;4-Low;Service Request;_Pending;Rückker von MXM nach Mutterschaftsurlaub;guten tag,  eine mitarbeiterin von uns, frau Muster Max (imemi) kehrt nach ihrem mutterschaftsurlaub zurück. ihr stellvertreter, herr adrian kägi (kagad) wechselt eda intern in eine neue abteilung und nimmt die docking station mit. das heisst, dass wir eine neue docking station für imemi brauchen. imemi hat noch einen alten laptop (schwarz).  können sie eine docking station ins büro w 0 1 2 3 am 3.01.2020 installieren ? imemi kommt am montag 6.01.2020 zurück.  zusätzlich bräuchten wir eine arbeitsplatzreinigung für den 3.01.2020. können sie das organisieren ? es ist der arbeitsplatz rechts, wenn man ins büro w 0 1 2 3 reinkommt.  vielen dank  freundliche grüsse;Notebook
2364;INC000009723299;3-Moderate/Limited;3-Medium;Service Request;EDA_S_Netzwerk Ausland;Network point access;dear helpdesk  could you please assist? i need to activate another network point in our office.  is it possible to let me know which one on the worpre switch i could use?  thank you https://www.admin.ch> sent: monday, december 23, 2019 11:34 am to: https://www.admin.ch> subject: network point access   [https://www.admin.ch]   sent from my iphone;
2363;INC000009723191;4-Minor/Localized;4-Low;Service Request;EDA_S_Netzwerk Ausland;FW: (2019122035381) Access approval;bonjour  si ce message est original, je pense qu'il m'a été adressé suite à la coupure de réseau de ce weekend (inc000009714407). quelles suites doit-on donner à cet email?  cordialement  thomas vauclair administrateur du système informatique bureau c303 0 1 2 3 rue de grenelle, 0 1 2 3 paris tél. +33 (0)0 1 2 3 natel +33 (https://www.admin.ch           -----https://www.admin.ch>  sent: friday, december 20, 2019 11:28 pm to: vauclair https://www.admin.ch> subject: (2019122035381) access approval  dear customer,  verizon have monitored a network alarm indicating our device: frb125c1-0 1 2 3 down. a verizon engineer is required to attend site and investigate. please have access authorized and reply to all on this mail with access ref and or point of contact for our engineer when on site.    device: insert device example: frb125c1-0 1 2 3 date and time: asap location: paris 0 1 2 3 rue de grenelle  your support is appreciated.   should you require any further information please do not hesitate to reply to all on this mail or contact me on +0 1 2 3 kind regards;Smart_Device___MDM|Outlook
2362;INC000009723167;4-Minor/Localized;4-Low;Failure;EDA_S_APS_PC;Bildschirm Y. Nafissi-Azar;sehr geehrte damen und herren  auf dem bildschirm von herrn nafissi (asset-nr. 0 1 2 3 ) machen sich farbige pixel breit. gerne lassen wir diesen bei gelegenheit austauschen. es eilt aber nicht, da er erst am 6.1. wieder im büro ist.  mit bestem dank und freundlichen grüsse;
2361;INC000009723084;3-Moderate/Limited;4-Low;Failure;EDA_S_Netzwerk Inland;Zugriff via Netzwerk nicht möglich;guten tag  ich habe heute meinen laptop an die docking station anhängt, doch erkennt es das netzwerk nicht. ich habe den zugriff nur via wifi. dasselbe problem hatte ich bereits am freitag.  ich habe die netzwerkanschlüsse an der docking station überprüft, das kabel ist korrekt eingesteckt.  besten dank für ihre hilfe.  freundliche grüsse;
2360;INC000009723046;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;Out of office für MXM;guten morgen liebe kolleginnen und kollegen  frau Muster (eel) hat die out of office einstellung vergessen zu aktivieren. könnten sie das bitte für frau Muster durchführen?  vielen dank;
2358;INC000009722988;4-Minor/Localized;4-Low;Failure;EDA_S_BA_Mailbox;Zusätzliches Outlookprofil;sehr geehrte damen und herren  meine outlookprofile (visa – und vertretungsinbox) sind verschwunden. ich habe versucht, diese wieder hinzuzufügen, leider erhalte ich beim öffnen folgende fehlermeldung:  [cid:image001.png@01d5b974.550fa050]  können sie mir bitte sagen, was ich falsch gemacht habe?  freundliche grüsse;
2357;INC000009720961;2-Significant/Large;2-High;Failure;EDA_ANW_Intranet/Collaboration EDA;Windows Patches Intranet PROD;hallo zusammen  seit wartungsfenster am 18.12.2019 haben wir massive probleme auf der sharepoint prod farm.  bitte sicherstellen dass:   ·     von allen servers (edavmres033, 0 1 2 3 . 0 1 2 3 , 0 1 2 3 , 0 1 2 3 ) die patches von 18.12 weg sind.  ·     alle servers gleichen patch-level haben, weil jetzt gibt’s mehrere differenzen (sehe anhang).  ·     wann wird es erledigt?   @helpdesk: bitte high ticket auslösen.  gruss;
2356;INC000009720732;4-Minor/Localized;4-Low;Service Request;EDA_S_Order Management;Freischaltung Paul Rüegg RGP;guten tag  könnten sie unseren neuen mitarbeiter paul rüegg rgp bitte sobald als möglich freischalten? das order management haben sie bereits erhalten. vielen dank für eine rasche abwicklung. freundliche grüsse;
2352;INC000009720422;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;Request for Creation of special Distribution Group;liebe kolleginnen und kollegen im helpdesk  diese vertretung in moskau benötigt für die in der botschaft integrierte organisation «pro helvetia» eine eigene distribution list. diese liste soll am 31. dezember 2019 in der global address list aktiv und sichtbar werden.  obwohl ich im iam/fim eigentlich selber distribution lists erstellen kann, ist dies im vorliegenden fall nicht https://www.admin.ch»-email-adresse (als contacts) aufgeführt werden müssen. dies ist ähnlich, wie der bereits bestehenden dl «_eda all users-moskau swisstourismus». ich bitte daher via dem helpdesk um die termingerechte erstellung der «pro helvetia»-distribution list. die details dazu sind wie folgt:  display name:  _eda all users-moskau prohelvetia  e-mail alias:  mos.prohelvetia  group function:  (?)  sub-department:  dr - directorate for resources  assigned location:  moskau (gmt+3)  description:  all users moskau prohelvetia      https://www.admin.ch      owner:  kämpfer andreas eda kmd      go live:  31 december 2019   treten zwischenzeitlich noch fragen auf, so stehe ich gerne zur verfügung.  herzlichen dank für das verständnis und die bemühungen.  liebe grüsse;
2350;INC000009720212;4-Minor/Localized;4-Low;Failure;EDA_S_Zusätzliche Software;FW: BSAFE / Infoschutz-Kurs (Integrale Sicherheit);guten tag  ich muss das training im link unten absolvieren, erhalte aber jeweils eine fehlermeldung. evtl. hängt das mit meinem wechsel auf die botschaft yaoundé zusammen, von wo aus das netzwerk nicht zugänglich ist?  vielen dank für ihre hilfe.  beste grüsse, sarah koch  [cid:image002.jpg@01d5b71b.e3740850]  from: https://www.admin.ch> sent: friday, december 13, 2019 10:42 am to: https://www.admin.ch> subject: bsafe / infoschutz-kurs (integrale sicherheit)  chère sarah,  merci !  désolée de te déranger avec ces cours.  pour le bsafe, je vais accepter le scan que tu m’as envoyé et le rentrer ainsi dans notre système.  pour l’autre, d’après ton scan tu as passé le cours informationsschutzverantwortung / lernen et tu aurais dû passer le integrale sicherheit / lernen (für vbs externe) comme indiqué en gras dans les instructions.  je t’ai mis le lien ci-dessous qui a fonctionné chez ma collègue de bureau. il faudra t’annoncer avec ton password habituel (peut-être 2 fois ?). fais le cours au bureau pour que tu aies un bon réseau. je crois qu’il dure env. 1h.  https://www.admin.chaspx?command=start&sessionid=63463ae0-a066-0 1 2 3 ac23-a374fe7ea241&lessonid=integsich_e_l_084_03&tplanid=&scheduleid=&assignmentid=0&country=&language=de-ch&startbutton=1&startedfrom=.catalog.&configname=lmsvbssui&uistyle=lmsvbssuihttps://www.admin.chgtclientservice.asmxhttps://www.admin.ch:0 1 2 3 /lmsvbssui/&uiclientipaddress=10.0 1 2 3 .0 1 2 3 .0 1 2 3 &ie=true  j’espère que tu ne perdras pas trop de temps. merci et bonne chance !  cordiales salutations;
2349;INC000009720162;4-Minor/Localized;4-Low;Failure;EDA_S_BA_Mailbox;encrypted emails;liebe kollegen  unsere botschafterin bml kann keine alten verschlüsselten emails öffnen. heute haben wir einen test gemacht, und es hat geklappt.  aber mit den alten geht es nicht.  vielen dank für die unterstützung.    assia paunova head of administration  embassy of switzerland in bulg;
2348;INC000009720079;4-Minor/Localized;4-Low;Service Request;EDA_S_Netzdrucker;BHW | W.0 1 2 3 , Rücknahme Netzwerkdrucker;"guten tag  der netzwerkdrucker (0 1 2 3 ) im büro w.0 1 2 3 wird nicht mehr benötigt. könnt ihr bitte ein ticket erfassen, damit der drucker abgeholt wird?  vielen grüsse  From: https://www.admin.ch> sent: wednesday, december 18, 2019 2:33 pm to: https://www.admin.ch> cc: coenca https://www.admin.ch>; müller https://www.admin.ch> subject: umstellen büro w354, bundeshaus west  sehr geehrter herr weber  wir möchten gerne unser büro (w354, bundeshaus west) etwas umstellen.  dafür benötigen wir hilfe für das tragen der tische und v.a. die korrekte verkabelung/it installation unserer drei arbeitsplätze.   -    arbeitsplatz daniel bill  -    arbeitsplatz laetitia coenca  -    flexibler arbeitsplatz für frederick steck (20%) und stagiaires diplomatique  im weiteren hätten wir 1 sideboard (siehe bild im anhang), welches wir nicht mehr benötigen, sowie einen alten aktenschrank (siehe bild 2 im anhang), den wir gerne loswerden würden.  hätten sie in der woche vom 6.-10. januar zeit uns bei dieser umstellung in unserem büro zu unterstützen? müsste ich für die it installationen separat den it dienst des eda anvisieren?  besten dank und freundliche grüsse";
2344;INC000009719005;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Internetzugriff;Zugriff auf EJPD Intranet;sehr geehrte damen und herren  wir versuchen über den link im beiliegenden e-mail auf weitere informationen zuzugreifen und enden auf der folgenden seite. wie müssen wir vorgehen?  mit freundlichen grüsse;
2343;INC000009718926;4-Minor/Localized;4-Low;Service Request;EDA_S_IT Sicherheit;;sehr geehrte damen und herren  ich habe heute in meiner inbox https://www.admin.ch-absender hatte (oder so ähnlich) mit der mitteilung, ich hätte „9 undelivered e-mail“ (oder so ähnlich).  ich bin derzeit auf urlaub und unterwegs, daher schaue ich meine e-mails kursorisch an. diese mitteilung habe ich angeklickt, dann aber sofort verdacht geschöpft und geschlossen und gelöscht. safari war bereits im begriff, irgendeine externe homepage zu öffnen, ich habe sofort alles geschlossen.  ich kann dies nicht richtig einordnen und hoffe, dass, falls es ein virus war, ich rechtzeitig alles geschlossen habe.  mit freundlichen grüsse;
2340;INC000009718379;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;Gruppen-E-Mail-Adressen;wie abgemacht. salutations  From: https://www.admin.ch>> sent: tuesday, december 10, 2019 4:19 pm to: bart https://www.admin.ch>> subject: wg: gruppen-e-mail-adressen  sehr geehrte frau bart  ich beziehe mich auf meine unten stehende mail betreffend gruppe-e-mail-adressen der abteilungen dea/wirtschaft- und finanzfragen sowie dea/politik und institutionen. können sie mir weiterhelfen?  beste grüsse  eliane schaller-vonlanthen  von: schaller-vonlanthen eliane seco gesendet: dienstag, 26. november 2019 09:24 an: bart https://www.admin.ch>> betreff: gruppen-e-mail-adressen  sehr geehrte frau bart  im zuge der überarbeitung der e-mail-verteiler für dossieraufrufe in der bundesverwaltung möchte ich sie fragen, ob für die beiden folgenden abteilungen der dea gruppen-mailadressen existieren:   -    dea/wirtschafts- und finanzfragen  -    dea/politik und institutionen  falls nein, würden wir die https://www.admin.ch> senden und die feinverteilung durch die dea vornehmen lassen.  besten dank für ihre rückmeldung und freundliche grüsse;
2339;INC000009718368;3-Moderate/Limited;3-Medium;Service Request;EDA_ANW_SysP eDoc;FW: Biometrie-Station;"hallo zäme  bitte ein ticket erstellen und telecommunications zuweisen. merci  peter klaefiger eidgenössisches departement für auswärtige angelegenheiten eda direktion für ressourcen (dr) informatik eda team basis plattformen freiburgstrasse 0 1 2 3 , 0 1 2 3 bern tel.  +https://www.admin.ch>    from: uldry https://www.admin.ch> sent: thursday, december 19, 2019 11:02 am to: kläfiger https://www.admin.ch> subject: biometrie-station  sehr geehrter herr kläfiger,  da herr michael gobeli bis anfangs jahres in den ferien weilt und die angelegenheit relativ dringend ist, erlaube ich mir, mich an sie zu wenden lieber herr kläfiger.  ich möchte die biometrie-station an a25 anhängen, d.h. ans netz anhängen. ich stelle jedoch fest, dass a25 nicht mehr «aktiv» ist und bitte sie um «aktivierung», damit ich diese position mit dem switch verbinden kann. sobald die verbindung feststeht, muss das ejpd die station updaten.  herzlichen grüsse  From: gobeli https://www.admin.ch>> sent: thursday, november 7, 2019 12:35 pm to: uldry https://www.admin.ch>>; kläfiger https://www.admin.ch>> cc: kläfiger https://www.admin.ch>> subject: re: a 16 - neues multifunktionsgerät  guten tag frau uldry  sie müssen die dose a16 im wirecenter rack verbinden, heisst die nummer a16 im rack mit dem switch verbinden. sobald dies erledigt ist, können sie sich wieder bei herr kläfiger melden.  beste grüsse michael gobeli   from: uldry https://www.admin.ch>> sent: wednesday, november 6, 2019 4:41 pm to: kläfiger https://www.admin.ch>> subject: a 16 - neues multifunktionsgerät   sehr geehrter herr kläfiger,  darf ich sie bitten, ihre kollegen von der informatik zu bitten, a16 zu aktivieren, das ist der definitive standort des 2. multifunktionsgerätes. nachher kann man das gerät ins netz integrieren.  besten dank";
2338;INC000009718325;3-Moderate/Limited;3-Medium;Failure;EDA_S_Raumbewirtschaftung;Heizung defekt;liebes team  im büro 16.0 1 2 3 funktioniert die heizung nicht. vielen dank, dass dies der hausdienst bald möglichst reparieren kann.  mit freundlichen grüsse;
2337;INC000009718168;4-Minor/Localized;4-Low;Service Request;EDA_S_Mobile Kommunikation;iOS update 13.3;guten tag  auf den eda smartdevices ist ein update ios 13.3 verfügbar. darf dieser auf geräten mit mdm bereits installiert werden oder muss das ok vom bit abgewartet werden?  danke.   freundliche grüsse;Smart_Device___MDM
2336;INC000009718081;4-Minor/Localized;4-Low;Failure;EDA_ANW_Intranet/Collaboration EDA;öffnen des files;lieber helpdesk  leider kann das file unter  https://www.admin.ch_layouts/15/wopiframe.aspx?sourcedoc=/group/yemen-projektliste/freigegebene%20dokumente/aktuelle_liste_und_reporting_projekte_yemen_2019.docx&action=default  nicht mehr geöffnet werden.  können sie dies wiederherstellen oder mir das file zustellen?  besten dank;
2335;INC000009718058;3-Moderate/Limited;2-High;Failure;EDA_ANW_Intranet/Collaboration EDA;Kein Zugriff auf Online-Dokumente;"guten morgen  sie wissen es allenfalls schon; man kann nicht auf online-dokumente – word und excel – zugreifen:  [cid:image001.jpg@01d5b648.0 1 2 3 ]   freundliche grüsse";
2334;INC000009717897;4-Minor/Localized;4-Low;Service Request;EDA_ANW_SysP eDoc;Timeslots in TV-Plus/ORBIS;guten tag nach bern  ich habe eine frage zu der neuen terminverwaltung tvplus in orbis. gemäss handbuch können time-slots über den button administration generiert werden, welcher button bei mir jedoch nicht existiert:  [cid:image001.jpg@01d5b656.50914cc0]  gemäss handbuch: [cid:image002.png@01d5b656.50914cc0] als sa sowie visaverantwortliche wäre es wichtig, dass ich solche slots einrichten kann.  besten dank für ihre mithilfe und rückmeldung.  mit freundlichen grüsse;eSysp___Biometrie
2333;INC000009717473;4-Minor/Localized;4-Low;Failure;EDA_S_BA_Mailbox;Probleme bei Zustellung von Mails;"guten tag  verschiedene stellen und personen, die versucht haben, geschäftliche mails an meine https://www.admin.ch>) zu senden, haben die nachstehende rückmeldung erhalten:  https://www.admin.ch hat ihre nachricht an die folgenden e-mail-adressen zurückgewiesen. bardill https://www.admin.ch> ihre nachricht wurde nicht zugestellt, weil das ziel-e-mail-system ihre nachricht aus sicherheitsgründen oder wegen einer richtlinie zurückgewiesen hat. beispielsweise akzeptiert die e-mail-adresse eventuell nur nachrichten von bestimmten absendern, oder sie akzeptiert bestimmte typen von nachrichten nicht, z. b. solche, die eine bestimmte größe überschreiten. wenden sie sich an den empfänger (z. b. telefonisch), und versuchen sie zusammen mit ihm und seinem e-mail-administrator herauszufinden, welche richtlinie oder einstellung ihre nachricht blockiert hat und was sie tun müssen, um sicherzustellen, dass zukünftige nachrichten von ihnen nicht zurückgewiesen werden. weitere informationen finden sie unter statuscode 5.7.1<https://go.microsoft.com/fwlink/?linkid=0 1 2 3 >.  https://www.admin.ch hat diesen fehler ausgegeben: service unavailable; client [40.92.73.12] blocked using b.barracudacentral.org   es ist dies ein problem, welches uns in kuala lumpur schon seit wochen regelmässig zugetragen wird. es kann nicht im sinne einer effizienten und sicheren arbeitsweise sein, wenn geschäftliche mails blockiert werden und alternative, weniger geschützte kommunikationswege gewählt werden müssen.  besten dank für ihre kenntnisnahme.  mit freundlichen grüssen  werner bardill deputy head of mission / counsellor  embassy of switzerland in malaysia  no. 16, persiaran madge, 0 1 2 3 kuala lumpur tel.: (0 1 2 3 ) 0 1 2 3 fax.: (https://www.admin.ch> [banner seasons greetings";
2332;INC000009716997;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;request access permission (mailbox);hallo helpdesk  https://www.admin.ch> als verantwortlicher von andreas schöne übernehmen (reorg). leider finde ich keinen hinweis, in welchem format ich die namen eingeben muss:  [cid:image001.png@01d5b5b3.a511ac70]  merci für die hilfe und beste grüsse;
2331;INC000009716806;3-Moderate/Limited;4-Low;Failure;EDA_S_APS_PC;defekter Akku NB 0 1 2 3 ;liebes helpdesk-team,  bei nb 0 1 2 3 ist der akku geschwollen und müsste getauscht warden.  besten dank und schöne grüsse;
2330;INC000009716748;4-Minor/Localized;4-Low;Failure;EDA_S_APS_OS_BasisSW;automatische Shut Downs;guten tag  was kann ich tun, damit keine automatischen shut downs passieren?  besten dank im voraus für ihre rückmeldun.g  viele grüsse;
2325;INC000009714988;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_UCC_IVR;PANFR_Telefonumleitung Abwesenheit infolge Krankheit;liebe kolleginnen und kollegen  frau panizzon panfr ist noch bis mitte januar krankheitsbedingt abwesend. aufgrund der weiteren abwesenheiten der kommenden festtage, muss der anschluss von panfr bereichssekretariat oza von mehreren personen betreut werden. wir bitten sie daher, die umleitung wie folgt zu aktivieren:  woche 22.-27. dez  --> umleiten an lac denise lackner  woche 30. dez – 3. januar  --> umleiten an mbu ursula messerli  woche 6.- 10. januar  --> umleiten an rcs cristin rentsch  woche 13. - 17. januar  --> umleiten an aun nicole auberson    besten dank und freundliche grüsse;
2324;INC000009714818;4-Minor/Localized;4-Low;Service Request;EDA_ANW_DMS Fabasoft eGov Suite;"Portal ""Ordnungssystem"" nicht vorhanden";sehr geehrter herr sadiku  gemäss ihrem telefonat mit schbv wende ich mich direkt an sie. das ordnungssystem im gever fabasoft wird bei mir nicht angezeigt. unter meinem benutzerprofil kann ich weder cappuccino noch espresso anwählen (siehe screenshot unten). darf ich sie bitten mir bei gelegenheit anzurufen, damit wir dies gleich anschauen können? vielen dank!  freundliche grüsse;
2323;INC000009714691;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;How to send and receive a fax from outlook;liebes helpdesk-team  gibt es eine möglichkeit faxe vom outlook aus zu senden und auch zu erhalten? und falls ja, könnten sie mir mitteilen, wie man das im outlook einrichten kann?  besten dank im voraus und herzliche grüsse;
2322;INC000009714612;4-Minor/Localized;4-Low;Failure;EDA_ANW_Zentrale Raumreservation EDA;Outlook Raumreservation;guten tag,  in meinem outlook ist die funktion zur raumreservation verschwunden. ich habe dann die applikation «estate outlook addin 2016» im software center desinstalliert und neu installiert, inkl. restart des pc. das hat aber leider nicht funktioniert. können sie mir weiterhelfen?  besten dank und freundliche grüsse;Software_Center
2321;INC000009714572;4-Minor/Localized;4-Low;Service Request;EDA_S_BA_Mailbox;nicht dringend  Autogrammkarten;nicht dringend  guten tag  folgendes anliegen habe ich:  bestellt jemand auf der homepage eda eine autogrammkarte gelangen diese aufträge in die box _eda-autogrammkarten. nur ich habe zugriff auf diese box. mein vorgesetzter wünscht jetzt, dass die autogrammwünsche in der box _eda-gs registratur eingehen und dort direkt in den folder 0 1 2 3 autogrammkarten gelangen.  können sie dies erledigen? die box _eda-autogrammkarten könnte anschliessend gelöscht werden  freundliche grüsse;
2320;INC000009714440;4-Minor/Localized;4-Low;Service Request;EDA_S_Netzdrucker;Einbindung Multifunktionsgeräte ;sehr geehrte kolleginnen und kollegen  diese vertretung hat sich zwei multifunktionsgeräte angeschafft, welche nun in das netzwerk eingebunden werden sollten.  es handelt sich um zwei geräte der marke xerox, typ alta link 0 1 2 3 gerät 1 trägt folgender name: bar-l801-1-c8035  ip-nr. 0 1 2 3 .26.27.0 1 2 3 gateway: 0 1 2 3 .26.27.1 mask: 0 1 2 3 .0 1 2 3 .0 1 2 3 .0 s/n 0 1 2 3 gerät 2 trägt folgender name: bar-l801-2-c8035  ip-nr. 0 1 2 3 .26.27.0 1 2 3 gateway: 0 1 2 3 .26.27 mask: 0 1 2 3 .0 1 2 3 .0 1 2 3 .0 s/n 0 1 2 3 bitte bei der einbindung der beiden geräte die print-driver so konfigurieren, dass die druckaufträge der einzelnen user nur auf verlangen ausgedruckt werden können (mit eingabe pin). die beiden geräte sind am netzwerk angeschlossen.  gerne erwarte ich eine rückmeldung und stehe für weitere auskünfte zur verfügung.  mit freundlichen grüsse;
2318;INC000009714238;4-Minor/Localized;4-Low;Service Request;EDA_S_APS_PC;extrem langsamer PC;liebe kolleginnen  mein pc ist seit gestern unglaublich langsam. gibt es eine erklärung und behebung dafür? es ist sehr hinderlich zum arbeiten. besten dank;
